"統一編號","商業名稱","商業地址","登記狀態"
"10486376","喜樂貓咪精品坊","嘉義市西區福松里民族路６１３號一樓","歇業／撤銷"
"10491878","秉聖名星愛犬館","臺南市南區府南里大成路2段151號1樓","核准設立"
"10496682","頂尖寵物生活館","臺南市北區和順里海安路3段133號1樓","核准設立"
"10513129","美樂狗寵物商行","新北市林口區南勢四街４８號１樓","歇業／撤銷"
"10514400","沃芙生活館","新北市中和區中山路3段118之7號","廢止"
"10519806","大福寵物店","新北市新莊區中正路925號","歇業／撤銷"
"10522056","親愛的寵物生活館","新竹縣竹北市十興里勝利二路１１８號１樓","歇業／撤銷"
"10522464","美嘉寵物坊","新竹縣竹北市竹北里中山路163號1樓","核准設立"
"10524940","芭比寵物坊","新竹縣竹東鎮東寧里１７鄰東寧路一段９５號１樓","歇業／撤銷"
"10526150","格樂寵物美容坊","新北市新店區民安街１２３號","核准設立"
"10526757","吉米寵物","桃園市中壢區忠孝里忠孝路３０８號１樓","歇業／撤銷"
"10527165","狗屋寵物坊","桃園市八德區大和里建國路１１４８號１樓","歇業／撤銷"
"10528642","花生妹寵物美容精品店","新北市林口區公園路３５號","歇業／撤銷"
"10546971","派比寵物精品生活館","新北市新店區光明街３８號（１、２樓）","廢止"
"10558954","熊寶貝的家寵物館","新北市新店區北宜路２段５７９巷１號（１樓）","停業"
"10565343","珍旺犬舍","新北市中和區華順街８號","歇業／撤銷"
"10569805","狗派對寵物生活館","新北市新莊區新泰路４１７之１號","核准設立"
"10569946","坤德居寵物店","新北市五股區工商路１４１號","歇業／撤銷"
"10588057","喬登寵物坊","新北市永和區保平路１１１巷６號","停業"
"10589719","鬥牛城市寵物房","新北市三重區下竹圍街１４號１樓","歇業／撤銷"
"10591378","喜樂蒂的家","新竹市香山區牛埔里中華路四段三七二號","停業"
"10591519","丁鍹企業社","新北市土城區學享街７７號１樓","歇業／撤銷"
"10601093","泰林寵物店","新北市泰山區泰林路２段５９２號１樓","歇業／撤銷"
"10601116","薇晶寵物用品店","新北市淡水區清水街１之５號（１樓）","廢止"
"10604394","仔仔寵物店","新竹市東區新莊里新莊街四二號一樓","歇業／撤銷"
"10611466","王子寵物生活館","新竹市東區綠水里光復路二段三九九號一樓","歇業／撤銷"
"10612063","淺草橋寵物坊","新北市板橋區大觀路2段7巷34號(1樓)","歇業／撤銷"
"10616429","泰豪寵物店","新北市板橋區縣民大道３段３２號１樓","核准設立"
"10630442","壹零壹寵物館","基隆市仁愛區和明里愛五路38號1樓","核准設立"
"10631929","東方寵物坊","新北市板橋區富山街５３巷６０號（１樓）","歇業／撤銷"
"10637536","啦琦寵物店","新北市板橋區長江路２段８３號１樓","歇業／撤銷"
"10646556","乖乖狗寵物店","新北市泰山區中華街１８巷１０號","核准設立"
"10648978","紅貴賓寵物店","桃園市八德區大安里建安街７２巷１１弄２３號１樓","核准設立"
"10652923","國王寵物店","新竹市東區三民里中華路二段二七五號一樓","核准設立"
"10657716","振華水族館","新北市新莊區中正路５１３號","廢止"
"10661388","伊凡寵物美容生活館","新北市中和區復興路３００號１樓","歇業／撤銷"
"10661633","糖糖寵物店","新北市三重區中華路43號","核准設立"
"10667600","哮天犬寵物精品店","新北市樹林區桃子腳路88號1樓","核准設立"
"10669585","貴族媽媽寵物專賣店","宜蘭縣宜蘭市進士里擺厘路11之23號一樓","核准設立"
"10675144","渡美名犬舍","新北市新莊區中榮街１０４巷９號１樓","歇業／撤銷"
"10693699","湯之屋寵物自助洗店","新北市永和區得和路１１號１樓","核准設立"
"10693760","丁寶寵物沙龍精品店","新北市三重區五華街２１３號１樓","核准設立"
"10695916","成都寵物舍","新北市鶯歌區大湖路３３８巷１８號（１樓）","歇業／撤銷"
